Varieties;Treatments;Pericarp_g;Endocarp_g;Kernel_g
Largueta;Open_HP;3.53;2.73;1.19
Largueta;Open_HP;2.43;1.97;0.93
Largueta;Open_HP;2.96;3.19;1.09
Largueta;Open_HP;2.88;2.993;1
Largueta;Open_HP;2.58;2.77;0.16
Largueta;Open_HP;2.62;3.27;1.13
Largueta;Open_HP;2.63;3.98;1.19
Largueta;Open_HP;2.52;3.48;1.25
Largueta;Open_HP;2.55;3.2;1.02
Largueta;Open_HP;2.22;2.53;0.95
Largueta;Open_HP;2.66;3.61;1.34
Largueta;Open_HP;3.92;4.07;1.61
Largueta;Open_HP;3.78;2.6;1.22
Largueta;Open_HP;2.41;3.38;1.12
Largueta;Open;2.68;3.81;1.5
Largueta;Open;1.57;1.96;0.61
Largueta;Open;2.5;3.36;1.18
Largueta;Open;2.17;3.35;1.14
Largueta;Open;2.59;3.14;1.45
Largueta;Open;2.06;1.9;0.95
Largueta;Open;2.32;3.07;0.94
Largueta;Open;2.02;3.09;1
Largueta;Open;1.29;2.01;0.66
Largueta;Open;1.84;2.94;1.06
Largueta;Open;1.9;2.97;0.89
Largueta;Bagged;0;0;0
Espoir;Open_HP;1.7;1.97;0.82
Espoir;Open_HP;1.43;1.46;0.05
Espoir;Open_HP;2.06;1.91;0.82
Espoir;Open_HP;2.64;2.25;0.93
Espoir;Open_HP;1.53;1.43;0.77
Espoir;Open_HP;1.49;1.24;0.67
Espoir;Open_HP;1.83;1.71;0.83
Espoir;Open_HP;1.36;1.54;0.77
Espoir;Open_HP;1.93;1.73;0.93
Espoir;Open_HP;1.64;1.75;0.83
Espoir;Open_HP;2.7;2.01;1.02
Espoir;Open_HP;1.64;1.42;0.77
Espoir;Open_HP;1.7;1.74;0.85
Espoir;Open_HP;1.68;1.78;0.82
Espoir;Open_HP;1.66;1.52;0.8
Espoir;Open_HP;1.08;1.03;0.04
Espoir;Open_HP;1.51;1.54;0.81
Espoir;Open_HP;1.43;1.48;0.79
Espoir;Open_HP;1.47;1.59;0.78
Espoir;Open_HP;1.37;1.43;0.75
Espoir;Open_HP;1.89;1.55;0.8
Espoir;Open_HP;1.89;1.74;0.89
Espoir;Open_HP;1.79;1.58;0.81
Espoir;Open_HP;1.4;1.57;0.77
Espoir;Open_HP;1.35;1.33;0.78
Espoir;Open_HP;1.79;1.6;0.84
Espoir;Open_HP;1.57;1.64;0.74
Espoir;Open_HP;1.89;1.83;0.94
Espoir;Open_HP;1.65;1.64;0.66
Espoir;Open_HP;0.95;0.99;0.61
Espoir;Open_HP;2.64;2.01;0.99
Espoir;Open_HP;2.26;1.87;0.95
Espoir;Open_HP;1.51;1.26;0.7
Espoir;Open_HP;1.23;1.3;0.73
Espoir;Open_HP;1.28;1.35;0.7
Espoir;Open_HP;1.94;1.67;0.91
Espoir;Open;2.06;1.64;0.88
Espoir;Open;1.65;1.42;0.8
Espoir;Open;1.53;1.49;0.76
Espoir;Open;1.9;1.66;0.84
Espoir;Open;1.45;1.55;0.6
Espoir;Open;0.5;1.92;0.92
Espoir;Open;1.32;1.11;0.72
Espoir;Open;1.6;1.66;0.8
Espoir;Open;1.58;1.43;0.73
Espoir;Open;2.06;1.73;0.91
Espoir;Open;2.39;1.76;0.93
Espoir;Open;1.5;1.24;0.63
Espoir;Open;1.59;1.42;0.77
Espoir;Open;2.16;1.76;0.86
Espoir;Open;3.26;2.14;1.06
Espoir;Open;2.92;2.37;1.01
Espoir;Open;1.9;1.7;0.85
Espoir;Open;1.12;1.08;0.6
Espoir;Open;0.32;0.25;0.04
Espoir;Open;1.55;1.58;0.72
Espoir;Open;1.43;1.26;0.55
Espoir;Open;1.5;1.22;0.79
Espoir;Open;1.25;1.27;0.68
Espoir;Open;1.74;1.56;0.78
Espoir;Open;2.17;1.87;0.88
Espoir;Open;1.62;1.51;0.79
Espoir;Open;1.4;1.64;0.82
Espoir;Open;1.6;1.45;0.72
Espoir;Open;1.8;1.7;0.78
Espoir;Open;2.44;2.19;0.99
Espoir;Open;1.68;1.48;0.82
Espoir;Open;2.56;1.17;0.96
Espoir;Open;1.82;1.64;0.84
Espoir;Open;1.74;1.61;0.74
Espoir;Open;1.59;1.21;0.73
Espoir;Open;1.98;1.77;0.8
Espoir;Open;2.36;1.61;0.09
Espoir;Open;1.51;1.16;0.66
Espoir;Open;0.88;1.91;0.57
Espoir;Open;1.04;1.04;0.55
Espoir;Open;1.05;0.92;0
Espoir;Open;1.67;1.25;0.73
Espoir;Open;0.84;0.8;0.05
Espoir;Bagged;1.88;1.95;0.91
Planeta;Open_HP;1.93;3.03;1.11
Planeta;Open_HP;1.64;2.53;0.06
Planeta;Open_HP;1.61;2.59;1.13
Planeta;Open_HP;1.78;3.43;1.27
Planeta;Open_HP;1.88;1.94;1
Planeta;Open;1.58;3.11;1.13
Planeta;Open;1.21;2.34;0.86
Planeta;Open;1.52;2.72;0.9
Planeta;Open;1.23;2.46;0.82
Planeta;Open;1.46;2.62;0.95
Planeta;Open;1.02;1.98;0.82
Planeta;Open;0.94;1.61;0.73
Planeta;Open;0.79;1.17;0.51
Planeta;Bagged;0;0;0
